platform,totalShows,movies,series,subscribers_mil,revenue_bil,genre,genre_count,market_share_pct,yearly_growth_count,originalContent_pct,userRating,criticalAcclaim_pct,globalReach_pct,contentDiversity_pct,dailyActiveUsers_mil,avgWatchTime_hrs,retention_pct,satisfaction_rating,ageGroup,ageGroup_pct,country,country_rating,country_subscribers,avgBudget_mil,originalBudget_mil,totalSpend_bil,month,monthly_releases,avgWatchTimeByGenre_mins
Amazon Prime,4604,5786,1942,157,10.7,Documentary,314,16.89,11370,93.58,8.76,61,83,63,93,4.29,80,4.21,35-44,9,Brazil,8.36,48350418,19.4,10.57,10.57,Jun,39,68
Netflix,7615,13242,2198,203,19.08,Animation,1629,9.66,7466,68.56,7.92,77,90,94,63,2.0,70,3.93,35-44,21,Canada,8.11,21399445,8.19,19.98,18.92,Aug,8,57
Disney+,5744,928,2296,137,8.02,Action,1068,10.46,4868,93.3,8.0,90,78,76,54,2.17,100,3.07,55+,20,Germany,7.31,60530190,17.06,18.28,19.81,Mar,14,27
Amazon Prime,15586,8898,3151,153,32.05,Comedy,1065,11.95,14198,67.45,6.98,63,79,92,79,3.42,97,3.24,25-34,35,Canada,8.29,27273961,13.16,10.05,17.07,Dec,8,59
Disney+,15986,8037,3222,39,23.06,Drama,400,8.6,5623,88.76,8.63,66,81,86,85,2.23,72,3.32,18-24,11,Australia,8.32,43756984,19.72,23.54,14.91,May,28,73
Netflix,14659,13435,488,34,11.5,Documentary,371,7.36,13686,61.61,7.14,81,92,98,51,4.3,71,3.37,35-44,5,Japan,7.54,11384043,16.87,16.21,11.53,Jun,11,69
Amazon Prime,16975,13105,1096,9,22.76,Action,979,54.33,11497,64.24,8.93,50,74,82,56,2.93,86,4.67,35-44,11,Germany,7.38,26071721,8.09,18.85,5.34,Feb,35,61
Disney+,10107,5185,2799,3,16.42,Drama,1589,30.4,7029,63.93,7.53,66,73,60,75,2.7,90,3.41,25-34,21,United States,7.3,59277843,16.06,13.86,14.82,Oct,24,67
Disney+,12986,4620,2291,137,21.83,Documentary,1495,13.7,9090,89.17,8.86,68,93,95,93,2.15,83,4.49,25-34,28,South Korea,8.78,8256140,8.54,28.76,7.52,Feb,49,51
Amazon Prime,2701,7813,4086,101,17.99,Drama,1717,24.1,15856,64.86,9.3,89,74,63,88,3.04,92,4.03,25-34,26,United Kingdom,8.83,44744163,18.41,21.51,11.67,Sep,5,57
Disney+,11928,9218,357,93,11.19,Action,1956,6.21,10884,66.43,7.37,77,70,96,95,1.61,75,3.78,25-34,35,France,8.79,29765291,19.61,20.81,11.3,Dec,8,47
Disney+,14735,9315,2478,44,24.12,Horror,238,13.71,8698,68.94,9.22,88,94,64,73,1.14,77,4.39,25-34,30,Australia,7.36,67417927,14.35,23.65,13.84,Apr,26,59
